q1_hash,q2_hash,q1_freq,q2_freq
0,34178,2,5
1,17366,1,5
2,29018,1,4
3,15151,4,4
4,19421,1,10
5,183,5,3
6,34179,5,1
7,34180,2,14
8,2490,32,33
9,19967,46,30
10,28151,5,6
11,2052,9,10
12,34181,7,1
13,34182,5,1
14,34183,6,1
15,34184,5,1
16,34185,4,1
17,34186,5,1
18,8342,2,7
19,34187,13,9
20,3030,5,7
21,34188,7,9
22,22372,2,4
23,26396,6,7
24,34189,11,7
25,28001,1,19
26,34190,48,17
27,34191,6,4
28,1238,12,9
29,34192,6,4
30,34193,1,14
31,9043,24,32
32,34194,1,5
33,30695,3,4
34,1536,9,8
35,15419,10,13
36,34195,7,9
37,34196,1,12
38,34197,8,2
39,34198,6,1
40,34199,4,1
41,15102,19,12
42,34200,6,5
43,6102,21,33
44,6050,7,9
45,34201,5,1
46,24561,2,4
47,11949,12,13
48,34202,25,21
49,25077,7,6
50,34203,4,1
51,17724,1,49
52,34204,1,8
53,34205,7,6
54,13169,1,9
55,74,1,9
56,34206,1,6
57,5946,24,21
58,34207,4,19
59,34208,18,1
60,34209,4,1
61,34210,4,1
62,1971,12,11
63,34211,4,1
64,34212,4,1
65,3249,6,15
66,3299,2,26
67,16945,6,6
68,12492,1,11
69,16270,6,8
70,34213,4,1
71,18886,1,4
72,34214,6,6
73,34215,2,6
74,34216,9,1
75,34217,10,10
76,9658,13,14
77,727,16,15
78,13278,11,19
79,34218,2,4
80,15248,7,7
81,11655,1,4
82,34219,4,1
83,10908,13,13
84,1456,30,23
85,34220,6,1
86,267,1,14
87,7773,18,14
88,8371,18,13
89,6981,7,6
90,13667,9,13
91,34221,5,1
92,34222,4,1
93,18433,1,13
94,24470,5,4
95,16944,31,32
96,34223,8,1
97,14511,4,5
98,3563,8,9
99,34224,6,6
100,34225,4,1
101,3089,44,30
102,732,4,30
103,13924,2,4
104,34226,6,1
105,34227,9,1
106,13537,6,6
107,34050,1,5
108,34228,4,1
109,34229,6,1
110,34230,15,15
111,34231,2,30
112,4575,11,14
113,25110,11,10
114,6970,4,4
115,34232,1,7
116,869,18,56
117,15998,1,4
118,735,1,8
119,34233,6,2
120,34234,1,7
121,34235,13,1
122,17892,5,4
123,14001,6,16
124,1494,49,38
125,2964,12,8
126,34236,1,4
127,34237,1,5
128,23434,2,5
129,4263,6,6
130,23892,8,4
131,34238,7,10
132,34239,15,20
133,31349,1,4
134,18578,11,12
135,34240,4,3
136,31969,28,31
137,34241,1,4
138,34242,2,5
139,34243,26,1
140,5814,8,7
141,34244,4,5
142,23534,5,5
143,34245,2,15
144,34246,5,1
145,2788,13,8
146,15037,4,4
147,17645,1,8
148,9378,41,41
149,34247,11,10
150,1252,1,4
151,3756,19,16
152,3508,6,14
153,4314,5,7
154,34248,4,1
155,53,1,7
156,10944,12,12
157,22752,14,10
158,7430,1,5
159,25748,2,8
160,23736,1,19
161,10120,14,13
162,6903,23,8
163,34249,7,9
164,17909,1,4
165,12602,27,17
166,29278,2,4
167,17499,11,13
168,34250,4,1
169,34251,19,2
170,34252,4,16
171,2064,2,4
172,3469,45,28
173,34253,5,4
174,34254,7,1
175,25659,1,4
176,14250,26,25
177,6852,25,27
178,5076,19,18
179,21131,20,22
180,1929,1,7
181,24253,2,4
182,34255,2,5
183,30611,3,6
184,34256,9,1
185,1319,26,37
186,34257,44,1
187,34258,10,7
188,34259,4,11
189,12209,6,7
190,10650,7,22
191,2978,29,41
192,34260,4,1
193,15703,7,8
194,32359,1,4
195,32406,6,5
196,27938,19,12
197,1902,5,5
198,1001,1,10
199,5483,18,16
200,14386,9,11
201,34261,19,1
202,34262,10,10
203,34263,8,1
204,16664,5,7
205,9456,4,5
206,34264,6,1
207,15795,4,4
208,34265,10,10
209,6899,1,8
210,7848,3,16
211,1273,2,28
212,25985,7,7
213,28329,10,10
214,25824,4,6
215,31819,1,6
216,34266,24,11
217,8972,5,4
218,34267,4,1
219,10809,9,6
220,15821,17,17
221,457,14,15
222,30146,2,5
223,34268,9,1
224,15388,17,22
225,33042,33,33
226,15277,1,7
227,20485,5,6
228,34269,5,4
229,33946,4,4
230,34270,5,1
231,34271,4,1
232,34272,4,11
233,33916,7,10
234,34273,19,15
235,34274,4,5
236,1669,146,34
237,21034,1,4
238,20968,7,9
239,5653,6,7
240,34275,5,1
241,15935,6,6
242,34276,5,6
243,34277,6,4
244,28970,12,13
245,20163,6,7
246,1219,40,47
247,9009,1,6
248,34278,1,4
249,34279,5,1
250,15269,12,18
251,7972,4,7
252,34280,4,4
253,14567,2,6
254,1574,19,18
255,2409,5,20
256,34281,8,8
257,34282,7,1
258,19879,10,13
259,34283,6,9
260,7314,24,27
261,5372,30,23
262,802,1,19
263,27173,5,7
264,34284,4,1
265,34285,19,1
266,491,1,38
267,21181,14,2
268,6384,24,21
269,34286,7,1
270,23901,52,22
271,9876,4,4
272,34287,4,2
273,8248,25,19
274,34288,7,1
275,15685,36,20
276,21624,8,12
277,9158,19,15
278,11892,5,6
279,9653,1,4
280,13048,7,5
281,28852,1,7
282,34289,1,4
283,6928,12,24
284,2571,16,12
285,4561,8,19
286,3675,29,32
287,34290,8,1
288,15358,12,13
289,34291,8,1
290,12403,1,5
291,34292,13,19
292,34293,22,5
293,12136,2,6
294,34294,4,3
295,31417,4,2
296,16719,1,16
297,20188,1,6
298,34295,4,4
299,24521,2,7
300,18949,5,4
301,34296,6,1
302,17341,4,7
303,5531,1,6
304,20449,34,25
305,4071,49,17
306,5636,10,11
307,88,1,18
308,18241,4,9
309,34297,1,5
310,11818,25,20
311,34298,14,24
312,5679,12,9
313,13467,6,7
314,27137,7,8
315,10329,32,41
316,34295,5,4
317,17214,1,18
268,10094,24,21
318,3780,21,12
319,34299,7,1
320,20604,24,14
321,34300,6,1
322,34301,16,2
323,23189,15,17
324,22609,4,4
325,34302,6,7
326,29897,9,9
327,8132,7,6
328,17328,16,8
329,1639,2,9
330,5048,13,13
331,8332,5,3
332,34303,7,5
333,26574,51,41
334,34304,5,5
335,18873,17,17
336,33038,1,40
337,9208,20,22
338,18418,9,13
339,10243,10,8
340,34305,4,4
341,22035,14,13
