q1_neighbor_count,q2_neighbor_count,min_neighbor_count,max_neighbor_count,mean_neighbor_count,sum_neighbor_count,diff_neighbor_count,shared_neighbor_count
2,5,2,5,3.5,7,3,0
1,5,1,5,3.0,6,4,0
1,4,1,4,2.5,5,3,0
4,4,4,4,4.0,8,0,3
1,10,1,10,5.5,11,9,0
5,3,3,5,4.0,8,2,2
5,1,1,5,3.0,6,4,0
2,14,2,14,8.0,16,12,0
32,33,32,33,32.5,65,1,31
46,30,30,46,38.0,76,16,26
5,6,5,6,5.5,11,1,0
9,10,9,10,9.5,19,1,8
7,1,1,7,4.0,8,6,0
5,1,1,5,3.0,6,4,0
6,1,1,6,3.5,7,5,0
5,1,1,5,3.0,6,4,0
4,1,1,4,2.5,5,3,0
5,1,1,5,3.0,6,4,0
2,7,2,7,4.5,9,5,1
13,9,9,13,11.0,22,4,8
5,7,5,7,6.0,12,2,4
7,9,7,9,8.0,16,2,6
2,4,2,4,3.0,6,2,1
6,7,6,7,6.5,13,1,5
11,7,7,11,9.0,18,4,6
1,19,1,19,10.0,20,18,0
48,17,17,48,32.5,65,31,14
6,4,4,6,5.0,10,2,2
12,9,9,12,10.5,21,3,8
6,4,4,6,5.0,10,2,3
1,14,1,14,7.5,15,13,0
24,32,24,32,28.0,56,8,17
1,5,1,5,3.0,6,4,0
3,4,3,4,3.5,7,1,2
9,8,8,9,8.5,17,1,7
10,13,10,13,11.5,23,3,5
7,9,7,9,8.0,16,2,4
1,12,1,12,6.5,13,11,0
8,2,2,8,5.0,10,6,0
6,1,1,6,3.5,7,5,0
4,1,1,4,2.5,5,3,0
19,12,12,19,15.5,31,7,10
6,5,5,6,5.5,11,1,4
21,33,21,33,27.0,54,12,13
7,9,7,9,8.0,16,2,6
5,1,1,5,3.0,6,4,0
2,4,2,4,3.0,6,2,1
12,13,12,13,12.5,25,1,11
25,21,21,25,23.0,46,4,17
7,6,6,7,6.5,13,1,5
4,1,1,4,2.5,5,3,0
1,49,1,49,25.0,50,48,0
1,8,1,8,4.5,9,7,0
7,6,6,7,6.5,13,1,4
1,9,1,9,5.0,10,8,0
1,9,1,9,5.0,10,8,0
1,6,1,6,3.5,7,5,0
24,21,21,24,22.5,45,3,18
4,19,4,19,11.5,23,15,0
18,1,1,18,9.5,19,17,0
4,1,1,4,2.5,5,3,0
4,1,1,4,2.5,5,3,0
12,11,11,12,11.5,23,1,10
4,1,1,4,2.5,5,3,0
4,1,1,4,2.5,5,3,0
6,15,6,15,10.5,21,9,4
2,26,2,26,14.0,28,24,0
6,6,6,6,6.0,12,0,2
1,11,1,11,6.0,12,10,0
6,8,6,8,7.0,14,2,5
4,1,1,4,2.5,5,3,0
1,4,1,4,2.5,5,3,0
6,6,6,6,6.0,12,0,5
2,6,2,6,4.0,8,4,1
9,1,1,9,5.0,10,8,0
10,10,10,10,10.0,20,0,7
13,14,13,14,13.5,27,1,12
16,15,15,16,15.5,31,1,13
11,19,11,19,15.0,30,8,6
2,4,2,4,3.0,6,2,1
7,7,7,7,7.0,14,0,4
1,4,1,4,2.5,5,3,0
4,1,1,4,2.5,5,3,0
13,13,13,13,13.0,26,0,12
30,23,23,30,26.5,53,7,21
6,1,1,6,3.5,7,5,0
1,14,1,14,7.5,15,13,0
18,14,14,18,16.0,32,4,13
18,13,13,18,15.5,31,5,9
7,6,6,7,6.5,13,1,5
9,13,9,13,11.0,22,4,7
5,1,1,5,3.0,6,4,0
4,1,1,4,2.5,5,3,0
1,13,1,13,7.0,14,12,0
5,4,4,5,4.5,9,1,3
31,32,31,32,31.5,63,1,29
8,1,1,8,4.5,9,7,0
4,5,4,5,4.5,9,1,3
8,9,8,9,8.5,17,1,7
6,6,6,6,6.0,12,0,5
4,1,1,4,2.5,5,3,0
44,30,30,44,37.0,74,14,26
4,30,4,30,17.0,34,26,0
2,4,2,4,3.0,6,2,1
6,1,1,6,3.5,7,5,0
9,1,1,9,5.0,10,8,0
6,6,6,6,6.0,12,0,5
1,5,1,5,3.0,6,4,0
4,1,1,4,2.5,5,3,0
6,1,1,6,3.5,7,5,0
15,15,15,15,15.0,30,0,13
2,30,2,30,16.0,32,28,1
11,14,11,14,12.5,25,3,10
11,10,10,11,10.5,21,1,8
4,4,4,4,4.0,8,0,1
1,7,1,7,4.0,8,6,0
18,56,18,56,37.0,74,38,8
1,4,1,4,2.5,5,3,0
1,8,1,8,4.5,9,7,0
6,2,2,6,4.0,8,4,1
1,7,1,7,4.0,8,6,0
13,1,1,13,7.0,14,12,0
5,4,4,5,4.5,9,1,3
6,16,6,16,11.0,22,10,5
49,38,38,49,43.5,87,11,35
12,8,8,12,10.0,20,4,7
1,4,1,4,2.5,5,3,0
1,5,1,5,3.0,6,4,0
2,5,2,5,3.5,7,3,0
6,6,6,6,6.0,12,0,3
8,4,4,8,6.0,12,4,3
7,10,7,10,8.5,17,3,0
15,20,15,20,17.5,35,5,12
1,4,1,4,2.5,5,3,0
11,12,11,12,11.5,23,1,10
4,3,3,4,3.5,7,1,2
28,31,28,31,29.5,59,3,23
1,4,1,4,2.5,5,3,0
2,5,2,5,3.5,7,3,0
26,1,1,26,13.5,27,25,0
8,7,7,8,7.5,15,1,4
4,5,4,5,4.5,9,1,0
5,5,5,5,5.0,10,0,3
2,15,2,15,8.5,17,13,0
5,1,1,5,3.0,6,4,0
13,8,8,13,10.5,21,5,7
4,4,4,4,4.0,8,0,0
1,8,1,8,4.5,9,7,0
41,41,41,41,41.0,82,0,30
11,10,10,11,10.5,21,1,9
1,4,1,4,2.5,5,3,0
19,16,16,19,17.5,35,3,10
6,14,6,14,10.0,20,8,5
5,7,5,7,6.0,12,2,3
4,1,1,4,2.5,5,3,0
1,7,1,7,4.0,8,6,0
12,12,12,12,12.0,24,0,11
14,10,10,14,12.0,24,4,8
1,5,1,5,3.0,6,4,0
2,8,2,8,5.0,10,6,0
1,19,1,19,10.0,20,18,0
14,13,13,14,13.5,27,1,12
23,8,8,23,15.5,31,15,7
7,9,7,9,8.0,16,2,5
1,4,1,4,2.5,5,3,0
27,17,17,27,22.0,44,10,12
2,4,2,4,3.0,6,2,1
11,13,11,13,12.0,24,2,10
4,1,1,4,2.5,5,3,0
19,2,2,19,10.5,21,17,1
4,16,4,16,10.0,20,12,0
2,4,2,4,3.0,6,2,1
45,28,28,45,36.5,73,17,19
5,4,4,5,4.5,9,1,3
7,1,1,7,4.0,8,6,0
1,4,1,4,2.5,5,3,0
26,25,25,26,25.5,51,1,23
25,27,25,27,26.0,52,2,23
19,18,18,19,18.5,37,1,16
20,22,20,22,21.0,42,2,19
1,7,1,7,4.0,8,6,0
2,4,2,4,3.0,6,2,1
2,5,2,5,3.5,7,3,0
3,6,3,6,4.5,9,3,2
9,1,1,9,5.0,10,8,0
26,37,26,37,31.5,63,11,19
44,1,1,44,22.5,45,43,0
10,7,7,10,8.5,17,3,5
